"reviewId","creationDate","criticName","criticPageUrl","reviewState","isFresh","isRotten","isRtUrl","isTopCritic","publicationUrl","publicationName","reviewUrl","quote","scoreSentiment","originalScore","movieId"
1901624,"1800-01-01","James Berardinelli","/critics/james-berardinelli","fresh",True,False,False,False,"/critics/source/387","ReelViews","http://www.reelviews.net/php_review_template.php?identifier=1819","The result exhibits that the director is capable of a range few would credit him with.","POSITIVE","3.5/4","06098bb8-1615-3526-8f8b-7d72dff39f4d"
1899241,"1927-09-23","James Berardinelli","/critics/james-berardinelli","fresh",True,False,False,False,"/critics/source/387","ReelViews","http://www.reelviews.net/php_review_template.php?identifier=1883","Sunrise is often rightfully noted for its technical achievements but what is often overlooked is its emotional power.","POSITIVE","3.5/4","180ea20c-fe9e-38af-b8a1-aa85697c157c"
1906296,"1930-08-24","James Berardinelli","/critics/james-berardinelli","fresh",True,False,False,False,"/critics/source/387","ReelViews","http://www.reelviews.net/php_review_template.php?identifier=1924","All Quiet on the Western Front is the definitive World War I motion picture, the best of a surprisingly small class of movies.","POSITIVE","3.5/4","6d478192-b5bc-36ec-b3b3-e194ba4356a4"
1910277,"1934-02-22","James Berardinelli","/critics/james-berardinelli","fresh",True,False,False,False,"/critics/source/387","ReelViews","http://www.reelviews.net/php_review_template.php?identifier=1984","Its opposites-attract melding of screwball comedy and the road trip elements has become one of about a half-dozen standard love story formulas. Most years, there's at least one theatrical release that owes a debt to this film.","POSITIVE","3.5/4","72619c50-e028-3cfe-ae53-6cb86204389c"
1892661,"1935-08-01","Mike Barnard","/critics/mike-barnard","fresh",True,False,False,False,"/critics/source/1491","Future Movies UK","http://www.futuremovies.co.uk/review.asp?ID=857","If you haven't seen it, do.","POSITIVE","10/10","8054c5a7-0cd6-33a2-a0df-a219a851862e"
1901502,"1941-05-01","Owen Gleiberman","/critics/owen-gleiberman","fresh",True,False,False,True,"/critics/source/150","Entertainment Weekly","http://www.ew.com/ew/article/0,,314144,00.html","Fifty years after its release, Citizen Kane still seems richer, bolder, more spectacularly alive than any other film of the studio-system era. Regardless of how many times you've seen Orson Welles' 1941 masterpiece, it always feels like the first time.","POSITIVE","A+","18af2553-dc8f-3607-a605-92e907068433"
1915232,"1941-10-18","Scott Nash","/critics/scott-nash","fresh",True,False,False,False,"/critics/source/1465","Three Movie Buffs","http://www.threemoviebuffs.com/review/maltesefalcon","It really set the standard for hard-boiled detective movies and has been imitated, referenced and spoofed countless times. One thing it has never been done though, is equaled.","POSITIVE","4/4","916f85d7-666b-32cd-8110-ff2cf925f2a7"
1909195,"1943-06-01","Scott Nash","/critics/scott-nash","fresh",True,False,False,False,"/critics/source/1465","Three Movie Buffs","http://www.threemoviebuffs.com/review/casablanca","This movie is like Hamlet in that, even if you haven't seen either one of them, you are probably familiar with much of the dialogue.","POSITIVE","4/4","744d4aea-e6ad-3c9a-9723-ee9b10505b98"
1904763,"1944-09-06","Thomas Caldwell","/critics/thomas-caldwell","fresh",True,False,False,False,"/critics/source/2304","Cinema Autopsy","http://blog.cinemaautopsy.com/2008/10/09/double-indemnity/http://blog.cinemaautopsy.com/2008/10/09/notes-on-film-double-indemnity/","Not only is Double Indemnity one of the archetypal films known as film noir but it is regarded by many as the first true film noir. It is also one of the best.","POSITIVE","5/5","819e3da2-48e0-316a-ae57-4d2e2ff9dc78"
1902584,"1948-09-06","Clint O'Connor","/critics/clint-oconnor","fresh",True,False,False,False,"/critics/source/2115","Cleveland Plain Dealer","","If you love dance, and music, and movies, treat yourself this weekend to The Red Shoes.","POSITIVE","A","2dd94fec-3692-385d-bc80-6c8888bea303"
